Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
1;21100792090;"Journal of Artificial Intelligence and Soft Computing Research";journal;"24496499, 20832567";"De Gruyter Open Ltd";Yes;No;1,003;Q2;29;20;60;919;240;60;4,10;45,95;21,92;0;2;Poland;Eastern Europe;"De Gruyter Open Ltd";"2013-2025";"Computer Vision and Pattern Recognition (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Modeling and Simulation (Q1); Artificial Intelligence (Q2)";"Computer Science; Mathematics"
2;21100810658;"Paladyn";journal;"20814836";"Walter de Gruyter GmbH";Yes;No;0,589;Q3;31;28;74;1041;260;73;3,62;37,18;51,56;0;13;Poland;Eastern Europe;"Walter de Gruyter GmbH";"2010-2024";"Artificial Intelligence (Q3); Behavioral Neuroscience (Q3); Cognitive Neuroscience (Q3); Developmental Neuroscience (Q3); Human-Computer Interaction (Q3)";"Computer Science; Neuroscience"
3;130045;"Journal of Applied Biomedicine";journal;"12140287, 1214021X";"University of South Bohemia in Ceske Budejovice Faculty of Health and Social Sciences";Yes;No;0,363;Q3;40;25;63;973;119;63;2,00;38,92;44,83;0;11;Czech Republic;Eastern Europe;"University of South Bohemia in Ceske Budejovice Faculty of Health and Social Sciences";"2005-2024";"Agricultural and Biological Sciences (miscellaneous) (Q2); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q2); Artificial Intelligence (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Biomedical Engineering (Q3); Health, Toxicology and Mutagenesis (Q3); Immunology and Microbiology (miscellaneous)  (Q3); Medicine (miscellaneous) (Q3); Neuroscience (miscellaneous) (Q4)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Engineering; Environmental Science; Immunology and Microbiology; Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
4;25507;"Informatica (Slovenia)";journal;"18543871, 03505596";"Slovene Society Informatika";Yes;No;0,308;Q3;40;143;291;4856;462;285;1,50;33,96;34,63;0;28;Slovenia;Eastern Europe;"Slovene Society Informatika";"1995-2025";"Artificial Intelligence (Q3); Computer Science Applications (Q3); Software (Q3); Theoretical Computer Science (Q4)";"Computer Science; Mathematics"
5;21100255064;"Mendel";journal;"25713701, 18033814";"Brno University of Technology";Yes;No;0,302;Q4;16;32;51;1136;79;51;1,65;35,50;32,95;0;10;Czech Republic;Eastern Europe;"Brno University of Technology";"2005-2007, 2009-2024";"Computational Mathematics (Q3); Computer Science (miscellaneous) (Q3); Control and Systems Engineering (Q3); Decision Sciences (miscellaneous) (Q3); Artificial Intelligence (Q4); Theoretical Computer Science (Q4)";"Computer Science; Decision Sciences; Engineering; Mathematics"
6;13427;"Bulletin of the Polish Academy of Sciences: Technical Sciences";journal;"23001917, 02397528";"Polish Academy of Sciences";Yes;No;0,282;Q4;50;100;467;3094;610;463;1,36;30,94;25,38;0;11;Poland;Eastern Europe;"Polish Academy of Sciences";"1983-1988, 2004-2025";"Atomic and Molecular Physics, and Optics (Q3); Computer Networks and Communications (Q3); Engineering (miscellaneous) (Q3); Information Systems (Q3); Artificial Intelligence (Q4)";"Computer Science; Engineering; Physics and Astronomy"
7;21101170609;"Complex Systems Informatics and Modeling Quarterly";journal;"22559922";"Riga Technical University";Yes;Yes;0,280;Q4;11;20;61;1060;80;53;1,59;53,00;32,43;0;5;Latvia;Eastern Europe;"Riga Technical University";"2019-2024";"Business, Management and Accounting (miscellaneous) (Q3); Engineering (miscellaneous) (Q3); Information Systems (Q3); Artificial Intelligence (Q4)";"Business, Management and Accounting; Computer Science; Engineering"
8;24449;"Kybernetika";journal;"00235954, 1805949X";"Academy of Sciences of the Czech Republic";Yes;No;0,275;Q4;43;40;162;1228;128;156;0,83;30,70;29,41;0;2;Czech Republic;Eastern Europe;"Academy of Sciences of the Czech Republic";"1972-1989, 1996-2024";"Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Information Systems (Q3); Artificial Intelligence (Q4); Software (Q4); Theoretical Computer Science (Q4)";"Computer Science; Engineering; Mathematics"
9;21100818722;"Cybernetics and Physics";journal;"22237038, 22264116";"Institute of Problems of Mechanical Engineering, Russian Academy of Sciences";Yes;Yes;0,265;Q4;12;35;92;927;94;92;1,04;26,49;30,85;0;2;Russian Federation;Eastern Europe;"Institute of Problems of Mechanical Engineering, Russian Academy of Sciences";"2016-2024";"Computer Vision and Pattern Recognition (Q3); Control and Optimization (Q3); Fluid Flow and Transfer Processes (Q3); Physics and Astronomy (miscellaneous) (Q3); Artificial Intelligence (Q4); Signal Processing (Q4)";"Chemical Engineering; Computer Science; Mathematics; Physics and Astronomy"
10;21100783205;"Horizon. Studies in Phenomenology";journal;"23116986, 22265260";"Saint Petersburg State University";Yes;No;0,258;Q4;4;29;96;893;30;93;0,21;30,79;30,00;0;2;Russian Federation;Eastern Europe;"Saint Petersburg State University";"2012-2024";"Philosophy (Q2); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Energy Engineering and Power Technology (Q3); Artificial Intelligence (Q4); Control and Optimization (Q4); Signal Processing (Q4)";"Arts and Humanities; Computer Science; Energy; Engineering; Mathematics"
11;24802;"Neural Network World";journal;"23364335, 12100552";"Czech Technical University in Prague";No;No;0,251;Q4;30;29;62;872;87;62;1,29;30,07;28,79;0;13;Czech Republic;Eastern Europe;"Czech Technical University in Prague";"1994-2023";"Artificial Intelligence (Q4); Hardware and Architecture (Q4); Neuroscience (miscellaneous) (Q4); Software (Q4)";"Computer Science; Neuroscience"
12;21101044727;"Informatics and Automation";journal;"27133206, 27133192";"St. Petersburg Federal Research Center of the  Russian Academy of Sciences";Yes;Yes;0,239;Q4;14;50;139;2182;135;139;1,16;43,64;23,42;0;7;Russian Federation;Eastern Europe;"St. Petersburg Federal Research Center of the  Russian Academy of Sciences";"2020-2025";"Applied Mathematics (Q4); Artificial Intelligence (Q4); Computational Mathematics (Q4); Computational Theory and Mathematics (Q4); Computer Networks and Communications (Q4); Information Systems (Q4)";"Computer Science; Mathematics"
13;21101000293;"Mekhatronika, Avtomatizatsiya, Upravlenie";journal;"16846427, 26191253";"New Technologies Publishing House";No;No;0,235;Q4;6;71;226;1508;120;226;0,53;21,24;19,08;0;11;Russian Federation;Eastern Europe;"New Technologies Publishing House";"2019-2025";"Electrical and Electronic Engineering (Q3); Artificial Intelligence (Q4); Computer Science Applications (Q4); Control and Systems Engineering (Q4); Human-Computer Interaction (Q4); Software (Q4)";"Computer Science; Engineering"
14;21100826268;"Computer Science";journal;"23007036, 15082806";"AGH University of Science and Technology";Yes;Yes;0,208;Q4;11;24;72;1062;63;72;0,71;44,25;35,44;0;3;Poland;Eastern Europe;"AGH University of Science and Technology";"2017-2024";"Artificial Intelligence (Q4); Computational Theory and Mathematics (Q4); Computer Graphics and Computer-Aided Design (Q4); Computer Networks and Communications (Q4); Computer Science (miscellaneous) (Q4); Computer Vision and Pattern Recognition (Q4); Modeling and Simulation (Q4)";"Computer Science; Mathematics"
15;21100935898;"Computer Science Journal of Moldova";journal;"15614042";"Institute of Mathematics and Computer Science of Moldova";Yes;Yes;0,184;Q4;7;21;64;438;25;61;0,37;20,86;35,56;0;3;Moldova;Eastern Europe;"Institute of Mathematics and Computer Science of Moldova";"2019-2024";"Artificial Intelligence (Q4); Computational Mathematics (Q4); Computational Theory and Mathematics (Q4); Computer Networks and Communications (Q4); Computer Science Applications (Q4); Control and Optimization (Q4); Modeling and Simulation (Q4); Software (Q4)";"Computer Science; Mathematics"
16;21100831437;"International Journal of Mechatronics and Applied Mechanics";journal;"25594397, 25596497";"Cefin Publishing House";Yes;No;0,171;Q4;9;61;247;1340;123;243;0,66;21,97;28,49;0;17;Romania;Eastern Europe;"Cefin Publishing House";"2017-2024";"Artificial Intelligence (Q4); Materials Science (miscellaneous) (Q4); Mechanics of Materials (Q4)";"Computer Science; Engineering; Materials Science"
17;21100454976;"Journal of Automation, Mobile Robotics and Intelligent Systems";journal;"20802145, 18978649";"Sciendo";Yes;No;0,157;Q4;13;26;111;811;68;107;0,31;31,19;20,63;0;7;Poland;Eastern Europe;"Sciendo";"2015-2024";"Artificial Intelligence (Q4); Control and Systems Engineering (Q4); Signal Processing (Q4)";"Computer Science; Engineering"
18;21101021169;"Applied Computer Science";journal;"18953735, 23536977";"Polish Association for Knowledge Promotion";Yes;No;0,148;Q4;10;39;96;1165;76;96;0,92;29,87;28,32;0;5;Poland;Eastern Europe;"Polish Association for Knowledge Promotion";"2019-2024";"Artificial Intelligence (Q4); Biomedical Engineering (Q4); Computer Science Applications (Q4); Control and Systems Engineering (Q4); Economics, Econometrics and Finance (miscellaneous) (Q4); Industrial and Manufacturing Engineering (Q4); Information Systems (Q4); Mechanical Engineering (Q4)";"Computer Science; Economics, Econometrics and Finance; Engineering"
19;21101051699;"System Research and Information Technologies";journal;"16816048, 23088893";"National Technical University of Ukraine Igor Sikorsky Kyiv Polytechnic Institute";Yes;Yes;0,144;Q4;7;42;105;972;49;105;0,48;23,14;37,36;0;11;Ukraine;Eastern Europe;"National Technical University of Ukraine Igor Sikorsky Kyiv Polytechnic Institute";"2019-2024";"Applied Mathematics (Q4); Artificial Intelligence (Q4); Computational Theory and Mathematics (Q4); Theoretical Computer Science (Q4)";"Computer Science; Mathematics"
20;21101186339;"Advanced Information Systems";journal;"25229052";"National Technical University "Kharkiv Polytechnic Institute"";Yes;No;;-;6;49;0;957;0;0;0,00;19,53;28,33;0;2;Ukraine;Eastern Europe;"National Technical University "Kharkiv Polytechnic Institute"";"2023-2024";"Artificial Intelligence; Computer Networks and Communications; Information Systems";"Computer Science"
21;21101252467;"Annual of Sofia University ";journal;"26035529, 13139215";"Sofia University St Kliment Ohridski Faculty of Mathematics and Informatics";No;No;;-;1;12;20;181;0;19;0,00;15,08;46,15;0;0;Bulgaria;Eastern Europe;"Sofia University St Kliment Ohridski Faculty of Mathematics and Informatics";"2020-2024";"Algebra and Number Theory; Applied Mathematics; Artificial Intelligence; Computer Science Applications";"Computer Science; Mathematics"
