Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
13;21100935898;"Computer Science Journal of Moldova";journal;"15614042";"Institute of Mathematics and Computer Science of Moldova";Yes;Yes;0,146;Q4;7;23;17;496;12;17;0,71;21,57;34,15;0;1;Moldova;Eastern Europe;"Institute of Mathematics and Computer Science of Moldova";"2019-2024";"Artificial Intelligence (Q4); Computational Mathematics (Q4); Computational Theory and Mathematics (Q4); Computer Networks and Communications (Q4); Computer Science Applications (Q4); Control and Optimization (Q4); Modeling and Simulation (Q4); Software (Q4)";"Computer Science; Mathematics"
14;21100826268;"Computer Science";journal;"23007036, 15082806";"AGH University of Science and Technology";Yes;Yes;0,145;Q4;11;24;72;936;66;72;0,90;39,00;26,79;0;3;Poland;Eastern Europe;"AGH University of Science and Technology";"2017-2024";"Artificial Intelligence (Q4); Computational Theory and Mathematics (Q4); Computer Graphics and Computer-Aided Design (Q4); Computer Networks and Communications (Q4); Computer Science (miscellaneous) (Q4); Computer Vision and Pattern Recognition (Q4); Modeling and Simulation (Q4)";"Computer Science; Mathematics"
15;21100454976;"Journal of Automation, Mobile Robotics and Intelligent Systems";journal;"20802145, 18978649";"Sciendo";Yes;No;0,137;Q4;13;47;111;1317;74;106;0,60;28,02;26,02;0;6;Poland;Eastern Europe;"Sciendo";"2015-2024";"Artificial Intelligence (Q4); Control and Systems Engineering (Q4); Signal Processing (Q4)";"Computer Science; Engineering"
16;21100831437;"International Journal of Mechatronics and Applied Mechanics";journal;"25594397, 25596497";"Cefin Publishing House";Yes;No;0,108;-;9;88;231;1308;42;231;0,20;14,86;38,78;0;24;Romania;Eastern Europe;"Cefin Publishing House";"2017-2024";"Materials Science (miscellaneous) (Q4); Mechanics of Materials (Q4)";"Engineering; Materials Science"
17;21101252467;"Annual of Sofia University ";journal;"26035529, 13139215";"Sofia University St Kliment Ohridski Faculty of Mathematics and Informatics";No;No;;-;1;7;0;166;0;0;0,00;23,71;42,86;0;0;Bulgaria;Eastern Europe;"Sofia University St Kliment Ohridski Faculty of Mathematics and Informatics";"2020-2024";"Algebra and Number Theory; Applied Mathematics; Artificial Intelligence; Computer Science Applications";"Computer Science; Mathematics"
18;21101021169;"Applied Computer Science";journal;"18953735, 23536977";"Polish Association for Knowledge Promotion";Yes;No;;-;10;32;32;664;22;32;0,69;20,75;30,95;0;4;Poland;Eastern Europe;"Polish Association for Knowledge Promotion";"2019-2024";"Artificial Intelligence; Biomedical Engineering; Computer Science Applications; Control and Systems Engineering; Economics, Econometrics and Finance (miscellaneous); Industrial and Manufacturing Engineering; Information Systems; Mechanical Engineering";"Computer Science; Economics, Econometrics and Finance; Engineering"
19;21101170609;"Complex Systems Informatics and Modeling Quarterly";journal;"22559922";"Riga Technical University";Yes;Yes;;-;11;22;23;748;23;20;1,00;34,00;30,77;0;5;Latvia;Eastern Europe;"Riga Technical University";"2019-2024";"Artificial Intelligence; Business, Management and Accounting (miscellaneous); Engineering (miscellaneous); Information Systems";"Business, Management and Accounting; Computer Science; Engineering"
20;21101044727;"Informatics and Automation";journal;"27133206, 27133192";"St. Petersburg Federal Research Center of the  Russian Academy of Sciences";Yes;Yes;;-;14;47;164;1625;213;164;1,53;34,57;13,33;0;4;Russian Federation;Eastern Europe;"St. Petersburg Federal Research Center of the  Russian Academy of Sciences";"2020-2025";"Applied Mathematics; Artificial Intelligence; Computational Mathematics; Computational Theory and Mathematics; Computer Networks and Communications; Information Systems";"Computer Science; Mathematics"
21;21101200244;"Journal of Fuzzy Extension and Applications";journal;"27831442, 27173453";"Research Expansion Alliance (REA)";Yes;Yes;;-;16;28;0;630;0;0;0,00;22,50;19,30;0;0;Serbia;Eastern Europe;"Research Expansion Alliance (REA)";"2020-2025";"Applied Mathematics; Artificial Intelligence; Logic; Mathematics (miscellaneous)";"Computer Science; Mathematics"
22;21101051699;"System Research and Information Technologies";journal;"16816048, 23088893";"National Technical University of Ukraine Igor Sikorsky Kyiv Polytechnic Institute";Yes;Yes;;-;7;20;45;299;4;45;0,09;14,95;35,71;0;0;Ukraine;Eastern Europe;"National Technical University of Ukraine Igor Sikorsky Kyiv Polytechnic Institute";"2019-2024";"Applied Mathematics; Artificial Intelligence; Computational Theory and Mathematics; Theoretical Computer Science";"Computer Science; Mathematics"
